ts,message
2025-07-24T01:41:01.5070073Z,Shifting ladder up to start 20.32
2025-07-24T01:41:01.5071282Z,Placing ladder from 20.32
2025-07-24T01:41:01.5700558Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:01.5863387Z,Placing ladder from 20.30
2025-07-24T01:41:01.6326943Z,Shifting ladder up to start 20.31
2025-07-24T01:41:01.6328763Z,Placing ladder from 20.31
2025-07-24T01:41:01.6795894Z,Shifting ladder down to start 20.30
2025-07-24T01:41:01.6797124Z,Placing ladder from 20.30
2025-07-24T01:41:02.0088720Z,Shifting ladder up to start 20.31
2025-07-24T01:41:02.0089537Z,Placing ladder from 20.31
2025-07-24T01:41:02.2264422Z,Shifting ladder down to start 20.30
2025-07-24T01:41:02.2266215Z,Placing ladder from 20.30
2025-07-24T01:41:02.3360364Z,Shifting ladder up to start 20.31
2025-07-24T01:41:02.3362144Z,Placing ladder from 20.31
2025-07-24T01:41:02.7553113Z,Shifting ladder up to start 20.32
2025-07-24T01:41:02.7555733Z,Placing ladder from 20.32
2025-07-24T01:41:02.7867372Z,Shifting ladder up to start 20.32
2025-07-24T01:41:02.7867767Z,Placing ladder from 20.32
2025-07-24T01:41:02.9121761Z,Shifting ladder up to start 20.33
2025-07-24T01:41:02.9123025Z,Placing ladder from 20.33
2025-07-24T01:41:03.1007370Z,Shifting ladder up to start 20.34
2025-07-24T01:41:03.1010415Z,Placing ladder from 20.34
2025-07-24T01:41:03.2565215Z,Shifting ladder up to start 20.35
2025-07-24T01:41:03.2568382Z,Placing ladder from 20.35
2025-07-24T01:41:03.3033672Z,Shifting ladder up to start 20.36
2025-07-24T01:41:03.3034833Z,Placing ladder from 20.36
2025-07-24T01:41:03.3808077Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:03.3962555Z,Placing ladder from 20.34
2025-07-24T01:41:03.4890542Z,Shifting ladder up to start 20.35
2025-07-24T01:41:03.4892712Z,Placing ladder from 20.35
2025-07-24T01:41:03.5520664Z,Shifting ladder up to start 20.36
2025-07-24T01:41:03.5521434Z,Placing ladder from 20.36
2025-07-24T01:41:03.5998249Z,Shifting ladder up to start 20.37
2025-07-24T01:41:03.5999341Z,Placing ladder from 20.37
2025-07-24T01:41:03.8798870Z,Shifting ladder up to start 20.38
2025-07-24T01:41:03.8801422Z,Placing ladder from 20.38
2025-07-24T01:41:03.8947109Z,Shifting ladder up to start 20.39
2025-07-24T01:41:03.8947646Z,Placing ladder from 20.39
2025-07-24T01:41:03.9102975Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:03.9261249Z,Placing ladder from 20.37
2025-07-24T01:41:03.9567907Z,Shifting ladder up to start 20.38
2025-07-24T01:41:03.9570454Z,Placing ladder from 20.38
2025-07-24T01:41:04.0047536Z,Shifting ladder up to start 20.39
2025-07-24T01:41:04.0048575Z,Placing ladder from 20.39
2025-07-24T01:41:04.1930085Z,Shifting ladder up to start 20.40
2025-07-24T01:41:04.1931313Z,Placing ladder from 20.40
2025-07-24T01:41:04.2078274Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:04.2232542Z,Placing ladder from 20.39
2025-07-24T01:41:04.2389976Z,Shifting ladder up to start 20.40
2025-07-24T01:41:04.2391799Z,Placing ladder from 20.40
2025-07-24T01:41:04.4249473Z,Shifting ladder up to start 20.41
2025-07-24T01:41:04.4250527Z,Placing ladder from 20.41
2025-07-24T01:41:04.5031982Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:04.5185443Z,Placing ladder from 20.39
2025-07-24T01:41:04.6118308Z,Shifting ladder up to start 20.40
2025-07-24T01:41:04.6120313Z,Placing ladder from 20.40
2025-07-24T01:41:04.7524698Z,Shifting ladder down to start 20.39
2025-07-24T01:41:04.7525477Z,Placing ladder from 20.39
2025-07-24T01:41:04.8305256Z,Shifting ladder up to start 20.40
2025-07-24T01:41:04.8305542Z,Placing ladder from 20.40
2025-07-24T01:41:05.3467304Z,Shifting ladder up to start 20.41
2025-07-24T01:41:05.3468798Z,Placing ladder from 20.41
2025-07-24T01:41:05.5043146Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:05.5197578Z,Placing ladder from 20.40
2025-07-24T01:41:06.0193836Z,Shifting ladder down to start 20.39
2025-07-24T01:41:06.0195801Z,Placing ladder from 20.39
2025-07-24T01:41:06.0801711Z,Shifting ladder up to start 20.40
2025-07-24T01:41:06.0803908Z,Placing ladder from 20.40
2025-07-24T01:41:06.2040678Z,Shifting ladder down to start 20.39
2025-07-24T01:41:06.2042001Z,Placing ladder from 20.39
2025-07-24T01:41:06.2198723Z,Shifting ladder up to start 20.40
2025-07-24T01:41:06.2199627Z,Placing ladder from 20.40
2025-07-24T01:41:06.6735987Z,Shifting ladder down to start 20.39
2025-07-24T01:41:06.6738309Z,Placing ladder from 20.39
2025-07-24T01:41:06.9238000Z,Shifting ladder up to start 20.40
2025-07-24T01:41:06.9240004Z,Placing ladder from 20.40
2025-07-24T01:41:07.4376682Z,Shifting ladder down to start 20.39
2025-07-24T01:41:07.4379003Z,Placing ladder from 20.39
2025-07-24T01:41:07.4840994Z,Shifting ladder up to start 20.40
2025-07-24T01:41:07.4842114Z,Placing ladder from 20.40
2025-07-24T01:41:07.5462715Z,Shifting ladder up to start 20.40
2025-07-24T01:41:07.5465313Z,Placing ladder from 20.40
2025-07-24T01:41:08.0926179Z,Shifting ladder up to start 20.41
2025-07-24T01:41:08.0928138Z,Placing ladder from 20.41
2025-07-24T01:41:09.1406626Z,Shifting ladder down to start 20.40
2025-07-24T01:41:09.1409548Z,Placing ladder from 20.40
2025-07-24T01:41:09.1556303Z,Shifting ladder up to start 20.40
2025-07-24T01:41:09.1556879Z,Placing ladder from 20.40
2025-07-24T01:41:09.3107544Z,Shifting ladder up to start 20.40
2025-07-24T01:41:09.3108928Z,Placing ladder from 20.40
2025-07-24T01:41:09.3730254Z,Shifting ladder up to start 20.40
2025-07-24T01:41:09.3732827Z,Placing ladder from 20.40
2025-07-24T01:41:09.3890527Z,Shifting ladder up to start 20.41
2025-07-24T01:41:09.3894172Z,Placing ladder from 20.41
2025-07-24T01:41:09.7314026Z,Shifting ladder down to start 20.40
2025-07-24T01:41:09.7314936Z,Placing ladder from 20.40
2025-07-24T01:41:09.7940622Z,Shifting ladder up to start 20.41
2025-07-24T01:41:09.7941685Z,Placing ladder from 20.41
2025-07-24T01:41:09.8401860Z,Shifting ladder up to start 20.42
2025-07-24T01:41:09.8403266Z,Placing ladder from 20.42
2025-07-24T01:41:10.2320912Z,Shifting ladder up to start 20.43
2025-07-24T01:41:10.2322785Z,Placing ladder from 20.43
2025-07-24T01:41:10.2473731Z,Shifting ladder up to start 20.44
2025-07-24T01:41:10.2475359Z,Placing ladder from 20.44
2025-07-24T01:41:10.3877740Z,Shifting ladder up to start 20.45
2025-07-24T01:41:10.3879321Z,Placing ladder from 20.45
2025-07-24T01:41:10.4652731Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:10.4812411Z,Placing ladder from 20.44
2025-07-24T01:41:10.5428343Z,Shifting ladder up to start 20.45
2025-07-24T01:41:10.5435166Z,Placing ladder from 20.45
2025-07-24T01:41:10.6055487Z,Shifting ladder up to start 20.46
2025-07-24T01:41:10.6057226Z,Placing ladder from 20.46
2025-07-24T01:41:10.6531997Z,Shifting ladder up to start 20.47
2025-07-24T01:41:10.6533105Z,Placing ladder from 20.47
2025-07-24T01:41:10.7157658Z,Shifting ladder up to start 20.48
2025-07-24T01:41:10.7158815Z,Placing ladder from 20.48
2025-07-24T01:41:10.7472543Z,Shifting ladder up to start 20.49
2025-07-24T01:41:10.7474435Z,Placing ladder from 20.49
2025-07-24T01:41:10.8409071Z,Shifting ladder up to start 20.50
2025-07-24T01:41:10.8410175Z,Placing ladder from 20.50
2025-07-24T01:41:10.9190013Z,Shifting ladder up to start 20.51
2025-07-24T01:41:10.9191895Z,Placing ladder from 20.51
2025-07-24T01:41:11.0605301Z,Shifting ladder up to start 20.52
2025-07-24T01:41:11.0606057Z,Placing ladder from 20.52
2025-07-24T01:41:11.2331372Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:11.2492701Z,Placing ladder from 20.51
2025-07-24T01:41:11.2958926Z,Shifting ladder up to start 20.52
2025-07-24T01:41:11.2960652Z,Placing ladder from 20.52
2025-07-24T01:41:11.4047904Z,Shifting ladder up to start 20.53
2025-07-24T01:41:11.4049360Z,Placing ladder from 20.53
2025-07-24T01:41:11.4841261Z,Shifting ladder up to start 20.54
2025-07-24T01:41:11.4841850Z,Placing ladder from 20.54
2025-07-24T01:41:11.4980890Z,Shifting ladder up to start 20.55
2025-07-24T01:41:11.4981683Z,Placing ladder from 20.55
2025-07-24T01:41:11.5143879Z,Shifting ladder up to start 20.56
2025-07-24T01:41:11.5145348Z,Placing ladder from 20.56
2025-07-24T01:41:11.5302185Z,Shifting ladder up to start 20.57
2025-07-24T01:41:11.5303569Z,Placing ladder from 20.57
2025-07-24T01:41:11.6403643Z,Shifting ladder up to start 20.58
2025-07-24T01:41:11.6405865Z,Placing ladder from 20.58
2025-07-24T01:41:11.7185670Z,Shifting ladder up to start 20.59
2025-07-24T01:41:11.7187916Z,Placing ladder from 20.59
2025-07-24T01:41:11.7660788Z,Shifting ladder up to start 20.59
2025-07-24T01:41:11.7662345Z,Placing ladder from 20.59
2025-07-24T01:41:12.0318984Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:12.0476933Z,Placing ladder from 20.59
2025-07-24T01:41:12.2525040Z,Shifting ladder up to start 20.60
2025-07-24T01:41:12.2526560Z,Placing ladder from 20.60
2025-07-24T01:41:12.2683304Z,Shifting ladder up to start 20.61
2025-07-24T01:41:12.2685729Z,Placing ladder from 20.61
2025-07-24T01:41:12.3312653Z,Shifting ladder up to start 20.62
2025-07-24T01:41:12.3314690Z,Placing ladder from 20.62
2025-07-24T01:41:12.5380300Z,Shifting ladder up to start 20.63
2025-07-24T01:41:12.5381061Z,Placing ladder from 20.63
2025-07-24T01:41:12.8841189Z,Shifting ladder up to start 20.64
2025-07-24T01:41:12.8843984Z,Placing ladder from 20.64
2025-07-24T01:41:13.1611780Z,Shifting ladder up to start 20.65
2025-07-24T01:41:13.1613593Z,Placing ladder from 20.65
2025-07-24T01:41:13.1772813Z,Shifting ladder up to start 20.66
2025-07-24T01:41:13.1773728Z,Placing ladder from 20.66
2025-07-24T01:41:13.1933464Z,Shifting ladder up to start 20.67
2025-07-24T01:41:13.1935403Z,Placing ladder from 20.67
2025-07-24T01:41:13.2090902Z,Shifting ladder down to start 20.66
2025-07-24T01:41:13.2092154Z,Placing ladder from 20.66
2025-07-24T01:41:13.2413778Z,Shifting ladder up to start 20.67
2025-07-24T01:41:13.2414251Z,Placing ladder from 20.67
2025-07-24T01:41:13.4920349Z,Shifting ladder up to start 20.68
2025-07-24T01:41:13.4921294Z,Placing ladder from 20.68
2025-07-24T01:41:13.5238927Z,Shifting ladder up to start 20.69
2025-07-24T01:41:13.5240372Z,Placing ladder from 20.69
2025-07-24T01:41:13.5385816Z,Shifting ladder down to start 20.68
2025-07-24T01:41:13.5386749Z,Placing ladder from 20.68
2025-07-24T01:41:13.6177513Z,Shifting ladder up to start 20.69
2025-07-24T01:41:13.6178286Z,Placing ladder from 20.69
2025-07-24T01:41:13.6982706Z,Shifting ladder up to start 20.70
2025-07-24T01:41:13.6983684Z,Placing ladder from 20.70
2025-07-24T01:41:13.8870777Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:13.9021256Z,Placing ladder from 20.70
2025-07-24T01:41:14.1671633Z,Shifting ladder up to start 20.70
2025-07-24T01:41:14.1672302Z,Placing ladder from 20.70
2025-07-24T01:41:14.4619505Z,Shifting ladder up to start 20.71
2025-07-24T01:41:14.4620133Z,Placing ladder from 20.71
2025-07-24T01:41:14.8221106Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:14.8366874Z,Placing ladder from 20.70
2025-07-24T01:41:14.8514460Z,Shifting ladder up to start 20.71
2025-07-24T01:41:14.8515296Z,Placing ladder from 20.71
2025-07-24T01:41:14.9140329Z,Shifting ladder up to start 20.72
2025-07-24T01:41:14.9141436Z,Placing ladder from 20.72
2025-07-24T01:41:15.0085128Z,Shifting ladder up to start 20.73
2025-07-24T01:41:15.0085855Z,Placing ladder from 20.73
2025-07-24T01:41:15.1045636Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:15.1198124Z,Placing ladder from 20.71
2025-07-24T01:41:15.1351991Z,Shifting ladder up to start 20.72
2025-07-24T01:41:15.1352858Z,Placing ladder from 20.72
2025-07-24T01:41:15.4788850Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:15.4950890Z,Placing ladder from 20.72
2025-07-24T01:41:15.6041601Z,Shifting ladder down to start 20.71
2025-07-24T01:41:15.6042530Z,Placing ladder from 20.71
2025-07-24T01:41:15.6991629Z,Shifting ladder up to start 20.72
2025-07-24T01:41:15.6992324Z,Placing ladder from 20.72
2025-07-24T01:41:15.9832489Z,Shifting ladder up to start 20.73
2025-07-24T01:41:15.9833766Z,Placing ladder from 20.73
2025-07-24T01:41:16.1544412Z,Shifting ladder down to start 20.72
2025-07-24T01:41:16.1544844Z,Placing ladder from 20.72
2025-07-24T01:41:16.5449028Z,Shifting ladder up to start 20.72
2025-07-24T01:41:16.5451082Z,Placing ladder from 20.72
2025-07-24T01:41:17.0903907Z,Shifting ladder up to start 20.72
2025-07-24T01:41:17.0905210Z,Placing ladder from 20.72
2025-07-24T01:41:17.2610080Z,Shifting ladder up to start 20.73
2025-07-24T01:41:17.2611595Z,Placing ladder from 20.73
2025-07-24T01:41:17.6203290Z,Shifting ladder up to start 20.74
2025-07-24T01:41:17.6206386Z,Placing ladder from 20.74
2025-07-24T01:41:18.1510585Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:41:18.1665020Z,Placing ladder from 20.73
2025-07-24T01:41:18.2125878Z,Shifting ladder up to start 20.74
2025-07-24T01:41:18.2126572Z,Placing ladder from 20.74
2025-07-24T01:41:18.4472739Z,Shifting ladder up to start 20.75
2025-07-24T01:41:18.4473441Z,Placing ladder from 20.75
2025-07-24T01:41:18.5273905Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:21.1478614Z,Flattening 148 @ market (bid=20.85, vwap=19.99)
2025-07-24T01:42:21.1481202Z,Placing ladder from 20.84
2025-07-24T01:42:21.3976740Z,Shifting ladder up to start 20.85
2025-07-24T01:42:21.3978754Z,Placing ladder from 20.85
2025-07-24T01:42:21.4134141Z,Shifting ladder up to start 20.86
2025-07-24T01:42:21.4135802Z,Placing ladder from 20.86
2025-07-24T01:42:21.4764464Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:21.4914773Z,Placing ladder from 20.84
2025-07-24T01:42:21.5066338Z,Shifting ladder up to start 20.85
2025-07-24T01:42:21.5069664Z,Placing ladder from 20.85
2025-07-24T01:42:21.6923315Z,Shifting ladder up to start 20.86
2025-07-24T01:42:21.6928675Z,Placing ladder from 20.86
2025-07-24T01:42:21.9578009Z,Shifting ladder down to start 20.85
2025-07-24T01:42:21.9580357Z,Placing ladder from 20.85
2025-07-24T01:42:22.4728845Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:22.4880045Z,Placing ladder from 20.84
2025-07-24T01:42:22.6126906Z,Shifting ladder up to start 20.83
2025-07-24T01:42:22.6129541Z,Placing ladder from 20.83
2025-07-24T01:42:22.6285659Z,Shifting ladder up to start 20.84
2025-07-24T01:42:22.6287159Z,Placing ladder from 20.84
2025-07-24T01:42:22.7081561Z,Shifting ladder up to start 20.85
2025-07-24T01:42:22.7082664Z,Placing ladder from 20.85
2025-07-24T01:42:22.8510437Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:22.8660578Z,Placing ladder from 20.84
2025-07-24T01:42:22.9427006Z,Shifting ladder up to start 20.85
2025-07-24T01:42:22.9428496Z,Placing ladder from 20.85
2025-07-24T01:42:23.3843112Z,Shifting ladder down to start 20.84
2025-07-24T01:42:23.3845538Z,Placing ladder from 20.84
2025-07-24T01:42:23.4941622Z,Shifting ladder up to start 20.85
2025-07-24T01:42:23.4942726Z,Placing ladder from 20.85
2025-07-24T01:42:23.6818257Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:23.6973045Z,Placing ladder from 20.84
2025-07-24T01:42:23.8551594Z,Shifting ladder down to start 20.83
2025-07-24T01:42:23.8553604Z,Placing ladder from 20.83
2025-07-24T01:42:23.9176486Z,Shifting ladder up to start 20.84
2025-07-24T01:42:23.9178033Z,Placing ladder from 20.84
2025-07-24T01:42:23.9962886Z,Shifting ladder down to start 20.83
2025-07-24T01:42:23.9963564Z,Placing ladder from 20.83
2025-07-24T01:42:24.0122127Z,Shifting ladder up to start 20.84
2025-07-24T01:42:24.0123422Z,Placing ladder from 20.84
2025-07-24T01:42:24.1527413Z,Shifting ladder down to start 20.83
2025-07-24T01:42:24.1528021Z,Placing ladder from 20.83
2025-07-24T01:42:24.1689704Z,Shifting ladder up to start 20.84
2025-07-24T01:42:24.1691225Z,Placing ladder from 20.84
2025-07-24T01:42:24.8436871Z,Shifting ladder up to start 20.85
2025-07-24T01:42:24.8439012Z,Placing ladder from 20.85
2025-07-24T01:42:24.9867684Z,Shifting ladder down to start 20.84
2025-07-24T01:42:24.9869181Z,Placing ladder from 20.84
2025-07-24T01:42:25.0031936Z,Shifting ladder up to start 20.85
2025-07-24T01:42:25.0033668Z,Placing ladder from 20.85
2025-07-24T01:42:25.0805636Z,Shifting ladder down to start 20.84
2025-07-24T01:42:25.0806527Z,Placing ladder from 20.84
2025-07-24T01:42:25.0958208Z,Shifting ladder up to start 20.85
2025-07-24T01:42:25.0960150Z,Placing ladder from 20.85
2025-07-24T01:42:25.1895139Z,Shifting ladder down to start 20.84
2025-07-24T01:42:25.1897379Z,Placing ladder from 20.84
2025-07-24T01:42:25.2046931Z,Shifting ladder up to start 20.85
2025-07-24T01:42:25.2048177Z,Placing ladder from 20.85
2025-07-24T01:42:25.2827212Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:25.2985531Z,Placing ladder from 20.84
2025-07-24T01:42:25.3143119Z,Shifting ladder up to start 20.85
2025-07-24T01:42:25.3144214Z,Placing ladder from 20.85
2025-07-24T01:42:25.3761107Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:25.3917876Z,Placing ladder from 20.84
2025-07-24T01:42:25.4535949Z,Shifting ladder up to start 20.85
2025-07-24T01:42:25.4537767Z,Placing ladder from 20.85
2025-07-24T01:42:25.6413812Z,Shifting ladder up to start 20.86
2025-07-24T01:42:25.6415018Z,Placing ladder from 20.86
2025-07-24T01:42:25.6722105Z,Shifting ladder down to start 20.85
2025-07-24T01:42:25.6724189Z,Placing ladder from 20.85
2025-07-24T01:42:25.6879252Z,Shifting ladder up to start 20.86
2025-07-24T01:42:25.6879643Z,Placing ladder from 20.86
2025-07-24T01:42:25.7040016Z,Got touched ‑ cancelling ladder to stay flat
2025-07-24T01:42:25.7198677Z,Placing ladder from 20.85
2025-07-24T01:42:26.2539113Z,Shifting ladder up to start 20.86
2025-07-24T01:42:26.2541257Z,Placing ladder from 20.86
2025-07-24T01:42:26.3633884Z,Shifting ladder down to start 20.85
2025-07-24T01:42:26.3635074Z,Placing ladder from 20.85
2025-07-24T01:42:26.5039510Z,Shifting ladder up to start 20.85
2025-07-24T01:42:26.5040594Z,Placing ladder from 20.85
2025-07-24T01:42:26.5200980Z,Shifting ladder up to start 20.86
2025-07-24T01:42:26.5202625Z,Placing ladder from 20.86
2025-07-24T01:42:26.6462554Z,Shifting ladder down to start 20.85
2025-07-24T01:42:26.6463972Z,Placing ladder from 20.85
2025-07-24T01:42:26.7075314Z,Shifting ladder down to start 20.84
2025-07-24T01:42:26.7076925Z,Placing ladder from 20.84
2025-07-24T01:42:26.8778885Z,Shifting ladder up to start 20.85
2025-07-24T01:42:26.8781045Z,Placing ladder from 20.85
2025-07-24T01:42:26.8933080Z,Shifting ladder down to start 20.84
2025-07-24T01:42:26.8933870Z,Placing ladder from 20.84
2025-07-24T01:42:27.3481966Z,Shifting ladder up to start 20.84
2025-07-24T01:42:27.3482872Z,Placing ladder from 20.84
2025-07-24T01:42:27.3951250Z,Shifting ladder up to start 20.85
2025-07-24T01:42:27.3951719Z,Placing ladder from 20.85
2025-07-24T01:42:27.8160211Z,Shifting ladder down to start 20.84
